business_names,town_name_normalized,"lat, lng",lat,lng
"['1836 COUNTRY STORE, LLC', '1836 COUNTRY STORE LLC', '1836 COUNTRY STORE', '1836 COUNTRY STORE', '1836 COUNTRY STORE', '1836 COUNTRY STORE']","WILMINGTON, VT","(42.8683889, -72.8714468)",42.8683889,-72.8714468
['1836 COUNTRY STORE VILLAGE CORP.'],"NORWELL, VT","(44.5588028, -72.57784149999999)",44.5588028,-72.57784149999999
"['AIR GENERAL STORE, LLC']","HERO, VT","(44.6458286, -73.30256229999999)",44.6458286,-73.30256229999999
"['ALBANY GENERAL STORE', 'ALBANY GENERAL STORE', 'ALBANY GENERAL STORE', 'ALBANY COUNTRY STORE', 'ALBANY COUNTRY STORE', 'ALBANY GENERAL STORE']","ALBANY, VT","(44.7309405, -72.37980759999999)",44.7309405,-72.37980759999999
['AR LYNDONVILLE STORE CORP'],"LYNDONVILLE, VT","(44.5336665, -72.0031513)",44.5336665,-72.0031513
['AR GENERAL STORE INC'],"POSTMILLS, VT","(43.8846652, -72.26022569999999)",43.8846652,-72.26022569999999
['AR SWANTON STORE CORP.'],"SWANTON, VT","(44.9182342, -73.1244792)",44.9182342,-73.1244792
"[""BAKER'S GENERAL STORE ""]","BOW, VT","(43.3539626, -72.4073118)",43.3539626,-72.4073118
"['BARNARD GENERAL STORE, LLC', 'BARNARD GENERAL STORE', 'BARNARD GENERAL STORE', 'BARNARD GENERAL STORE', 'BARNARD GENERAL STORE', 'BARNARD GENERAL STORE', 'BARNARD GENERAL STORE']","BARNARD, VT","(43.728679, -72.6189876)",43.728679,-72.6189876
"['BELMONT GENERAL STORE THE', 'BELMONT GENERAL STORE', 'BELMONT GENERAL STORE', 'BELMONT GENERAL STORE']","BELMONT, VT","(43.4148462, -72.82115499999999)",43.4148462,-72.82115499999999
"['BENSON GENERAL STORE, INC.', 'BENSON GENERAL STORE INC']","BENSON, VT","(43.7066513, -73.3105386)",43.7066513,-73.3105386
"['BENSON VILLAGE STORE, LLC', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE']","BENSON, VT","(43.7066513, -73.3105386)",43.7066513,-73.3105386
['BIG BARN COUNTRY STORE & COFFEE'],"VERGENNES, VT","(44.1672771, -73.2540111)",44.1672771,-73.2540111
['BILLMONTS COUNTRY STORE'],"STAMFORD, VT","(42.7561535, -73.0679253)",42.7561535,-73.0679253
"['BLOOMFIELD CORNER STORE, LLC']","BLOOMFIELD, VT","(44.7538175, -71.6324096)",44.7538175,-71.6324096
